emb_type,m,n,k,best_C,train_acc,test_acc
skipgram,2,2,9,0.01,0.5064281721632197,0.44221105527638194
SVD,2,2,10,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,2,2,10,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,2,2,10,0.01,0.5064281721632197,0.44221105527638194
SVD,2,3,5,0.01,0.49357182783678033,0.5577889447236181
cbow,2,3,5,0.016237767391887217,0.5064281721632197,0.44221105527638194
skipgram,2,3,5,0.01,0.5064281721632197,0.44221105527638194
SVD,2,3,6,0.7847599703514611,0.49357182783678033,0.5577889447236181
cbow,2,3,6,0.06951927961775606,0.5064281721632197,0.44221105527638194
skipgram,2,3,6,0.01,0.5064281721632197,0.44221105527638194
SVD,2,3,7,1.2742749857031335,0.49357182783678033,0.5577889447236181
cbow,2,3,7,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,2,3,7,0.01,0.5064281721632197,0.44221105527638194
SVD,2,3,8,0.01,0.49357182783678033,0.5577889447236181
cbow,2,3,8,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,3,8,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,3,9,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,2,3,9,0.026366508987303583,0.5064281721632197,0.44221105527638194
skipgram,2,3,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,2,3,10,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,2,3,10,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,2,3,10,0.06951927961775606,0.5064281721632197,0.44221105527638194
SVD,2,4,5,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,2,4,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,4,5,0.01,0.5064281721632197,0.44221105527638194
SVD,2,4,6,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,2,4,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,4,6,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,4,7,0.4832930238571752,0.49357182783678033,0.5577889447236181
cbow,2,4,7,0.01,0.5064281721632197,0.44221105527638194
skipgram,2,4,7,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,2,4,8,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,2,4,8,0.026366508987303583,0.5064281721632197,0.44221105527638194
skipgram,2,4,8,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,4,9,0.01,0.49357182783678033,0.5577889447236181
cbow,2,4,9,0.11288378916846889,0.5064281721632197,0.44221105527638194
skipgram,2,4,9,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,4,10,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,2,4,10,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,4,10,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,5,5,0.01,0.49357182783678033,0.5577889447236181
cbow,2,5,5,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,2,5,5,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,2,5,6,0.01,0.49357182783678033,0.5577889447236181
cbow,2,5,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,5,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,5,7,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,2,5,7,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,5,7,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,5,8,0.4832930238571752,0.49357182783678033,0.5577889447236181
cbow,2,5,8,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,2,5,8,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,2,5,9,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,2,5,9,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,5,9,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,2,5,10,0.4832930238571752,0.49357182783678033,0.5577889447236181
cbow,2,5,10,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,2,5,10,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,2,6,5,0.29763514416313175,0.49357182783678033,0.5577889447236181
cbow,2,6,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,6,5,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,6,6,3.359818286283781,0.49357182783678033,0.5577889447236181
cbow,2,6,6,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,6,6,0.06951927961775606,0.5064281721632197,0.44221105527638194
SVD,2,6,7,0.01,0.49357182783678033,0.5577889447236181
cbow,2,6,7,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,6,7,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,2,6,8,0.01,0.49357182783678033,0.5577889447236181
cbow,2,6,8,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,2,6,8,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,2,6,9,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,2,6,9,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,6,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,2,6,10,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,2,6,10,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,2,6,10,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,7,5,0.01,0.49357182783678033,0.5577889447236181
cbow,2,7,5,14.38449888287663,0.5064281721632197,0.44221105527638194
skipgram,2,7,5,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,7,6,0.29763514416313175,0.49357182783678033,0.5577889447236181
cbow,2,7,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,2,7,6,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,2,7,7,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,2,7,7,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,2,7,7,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,2,7,8,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,2,7,8,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,2,7,8,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,2,7,9,0.01,0.49357182783678033,0.5577889447236181
cbow,2,7,9,100.0,0.5064281721632197,0.44221105527638194
skipgram,2,7,9,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,7,10,0.01,0.49357182783678033,0.5577889447236181
cbow,2,7,10,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,2,7,10,100.0,0.5064281721632197,0.44221105527638194
SVD,2,8,5,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,2,8,5,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,2,8,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,8,6,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,2,8,6,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,8,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,2,8,7,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,2,8,7,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,2,8,7,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,2,8,8,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,2,8,8,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,2,8,8,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,2,8,9,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,2,8,9,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,8,9,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,2,8,10,0.18329807108324356,0.49357182783678033,0.5577889447236181
cbow,2,8,10,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,8,10,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,3,2,5,0.01,0.49357182783678033,0.5577889447236181
cbow,3,2,5,0.06951927961775606,0.5064281721632197,0.44221105527638194
skipgram,3,2,5,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,3,2,6,0.18329807108324356,0.49357182783678033,0.5577889447236181
cbow,3,2,6,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,3,2,6,0.01,0.5064281721632197,0.44221105527638194
SVD,3,2,7,0.4832930238571752,0.49357182783678033,0.5577889447236181
cbow,3,2,7,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,3,2,7,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,3,2,8,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,3,2,8,0.04281332398719394,0.5064281721632197,0.44221105527638194
skipgram,3,2,8,0.01,0.5064281721632197,0.44221105527638194
SVD,3,2,9,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,3,2,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,3,2,9,0.016237767391887217,0.5064281721632197,0.44221105527638194
SVD,3,2,10,0.11288378916846889,0.4941307993292342,0.5577889447236181
cbow,3,2,10,0.04281332398719394,0.5064281721632197,0.44221105527638194
skipgram,3,2,10,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,3,3,5,2.06913808111479,0.49357182783678033,0.5577889447236181
cbow,3,3,5,0.016237767391887217,0.5064281721632197,0.44221105527638194
skipgram,3,3,5,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,3,3,6,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,3,3,6,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,3,3,6,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,3,3,7,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,3,3,7,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,3,3,7,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,3,3,8,37.92690190732246,0.49357182783678033,0.5577889447236181
cbow,3,3,8,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,3,3,8,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,3,9,0.18329807108324356,0.49357182783678033,0.5577889447236181
cbow,3,3,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,3,3,9,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,3,3,10,2.06913808111479,0.49357182783678033,0.5577889447236181
cbow,3,3,10,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,3,3,10,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,3,4,5,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,3,4,5,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,3,4,5,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,3,4,6,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,3,4,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,3,4,6,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,3,4,7,0.18329807108324356,0.49357182783678033,0.5577889447236181
cbow,3,4,7,61.584821106602604,0.5064281721632197,0.44221105527638194
skipgram,3,4,7,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,3,4,8,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,3,4,8,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,3,4,8,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,4,9,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,3,4,9,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,3,4,9,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,3,4,10,0.01,0.49357182783678033,0.5577889447236181
cbow,3,4,10,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,3,4,10,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,5,5,0.01,0.49357182783678033,0.5577889447236181
cbow,3,5,5,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,3,5,5,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,5,6,0.01,0.49357182783678033,0.5577889447236181
cbow,3,5,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,3,5,6,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,3,5,7,0.7847599703514611,0.49357182783678033,0.5577889447236181
cbow,3,5,7,14.38449888287663,0.5064281721632197,0.44221105527638194
skipgram,3,5,7,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,3,5,8,0.01,0.49357182783678033,0.5577889447236181
cbow,3,5,8,61.584821106602604,0.5064281721632197,0.44221105527638194
skipgram,3,5,8,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,5,9,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,3,5,9,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,3,5,9,23.357214690901213,0.5064281721632197,0.44221105527638194
SVD,3,5,10,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,3,5,10,14.38449888287663,0.5064281721632197,0.44221105527638194
skipgram,3,5,10,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,3,6,5,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,3,6,5,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,3,6,5,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,3,6,6,0.01,0.49357182783678033,0.5577889447236181
cbow,3,6,6,23.357214690901213,0.5064281721632197,0.44221105527638194
skipgram,3,6,6,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,3,6,7,0.01,0.49357182783678033,0.5577889447236181
cbow,3,6,7,61.584821106602604,0.5064281721632197,0.44221105527638194
skipgram,3,6,7,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,6,8,0.01,0.49357182783678033,0.5577889447236181
cbow,3,6,8,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,3,6,8,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,3,6,9,0.01,0.49357182783678033,0.5577889447236181
cbow,3,6,9,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,3,6,9,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,3,6,10,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,3,6,10,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,3,6,10,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,3,7,5,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,3,7,5,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,3,7,5,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,3,7,6,0.01,0.49357182783678033,0.5577889447236181
cbow,3,7,6,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,3,7,6,14.38449888287663,0.5064281721632197,0.44221105527638194
SVD,3,7,7,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,3,7,7,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,3,7,7,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,3,7,8,0.01,0.49357182783678033,0.5577889447236181
cbow,3,7,8,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,3,7,8,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,3,7,9,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,3,7,9,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,3,7,9,14.38449888287663,0.5064281721632197,0.44221105527638194
SVD,3,7,10,0.01,0.49357182783678033,0.5577889447236181
cbow,3,7,10,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,3,7,10,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,3,8,5,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,3,8,5,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,3,8,5,3.359818286283781,0.5064281721632197,0.44221105527638194
SVD,3,8,6,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,3,8,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,3,8,6,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,3,8,7,0.026366508987303583,0.49357182783678033,0.5577889447236181
cbow,3,8,7,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,3,8,7,23.357214690901213,0.5064281721632197,0.44221105527638194
SVD,3,8,8,0.11288378916846889,0.49357182783678033,0.5577889447236181
cbow,3,8,8,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,3,8,8,8.858667904100823,0.5064281721632197,0.44221105527638194
SVD,3,8,9,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,3,8,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,3,8,9,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,3,8,10,0.06951927961775606,0.49357182783678033,0.5577889447236181
cbow,3,8,10,23.357214690901213,0.5064281721632197,0.44221105527638194
skipgram,3,8,10,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,4,2,5,0.01,0.49357182783678033,0.5577889447236181
cbow,4,2,5,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,4,2,5,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,4,2,6,0.04281332398719394,0.49357182783678033,0.5577889447236181
cbow,4,2,6,0.18329807108324356,0.5064281721632197,0.44221105527638194
